Scenario,Framework,Endpoint,Profile,Throughput,Error_Rate,Latency_P99,CPU_Mean,RAM_Mean,TCP_Max,CPU_Temp_Max_C
A (Ideal),Express,CPU,high,100.00662082486203,0.0,24.733721210000002,89.99444444444445,42.4,3,42.125
A (Ideal),FastAPI,IO,high,100.02412221861063,0.0,1.6517555999999998,9.657777777777778,44.96222222222223,2,42.75
A (Ideal),FastAPI,CPU,low,10.032185262759297,0.0,3.148671,3.283333333333333,41.193333333333335,0,42.625
A (Ideal),FastAPI,IO,medium,50.03067571884835,0.0,1.9767078999999996,6.251111111111111,45.66111111111111,1,42.0
A (Ideal),FastAPI,CPU,high,100.02053467237647,0.0,2.953258489999999,27.666666666666664,41.31444444444445,1,41.875
A (Ideal),Express,IO,medium,50.030840845205574,0.0,2.1817598499999957,3.5999999999999996,35.20555555555555,1,42.625
A (Ideal),FastAPI,CPU,low,10.031901169090533,0.0,4.277971679999998,3.268888888888889,41.25,0,42.0
A (Ideal),FastAPI,CPU,low,10.03200554222379,0.0,3.16899251,3.326666666666666,41.24666666666667,0,42.875
A (Ideal),Express,IO,low,10.032591178754858,0.0,2.4521752099999996,1.5955555555555554,29.50111111111111,1,42.625
A (Ideal),FastAPI,CPU,high,100.0216967624552,0.0,3.1515423999999994,28.622222222222224,41.422222222222224,1,42.75
A (Ideal),Express,CPU,high,100.00373161541896,0.0,25.845362249999997,89.80888888888889,43.120000000000005,2,42.625
A (Ideal),Express,IO,low,10.032708180237561,0.0,2.59037669,1.6022222222222224,29.397777777777776,1,42.125
A (Ideal),FastAPI,CPU,high,100.02184132720811,0.0,2.8818609,27.641111111111112,41.507777777777775,0,42.125
A (Ideal),FastAPI,CPU,low,10.031907486952717,0.0,3.166463,3.29,41.150000000000006,0,42.375
A (Ideal),Express,CPU,high,100.00361539561783,0.0,25.89383164,90.05444444444444,42.84222222222222,3,43.0
A (Ideal),Express,CPU,low,10.0300398854846,0.0,13.078580779999998,10.136666666666667,30.61111111111111,1,42.375
A (Ideal),FastAPI,IO,medium,50.0308771491368,0.0,1.56385801,6.237777777777778,44.132222222222225,1,42.625
A (Ideal),Express,IO,high,100.02588095175177,0.0,2.268490679999996,6.24,36.40777777777778,1,42.5
A (Ideal),FastAPI,IO,medium,50.02972731733028,0.0,2.0218517,6.271111111111112,45.75222222222222,1,42.5
A (Ideal),Express,IO,low,9.999803339200957,0.0,2.6478414000000035,1.5899999999999999,29.45888888888889,2,42.0
A (Ideal),Express,IO,medium,50.03114114216977,0.0,2.5200267899999984,3.648888888888889,35.062222222222225,2,42.625
A (Ideal),Express,IO,high,100.02829032705387,0.0,2.1406050199999975,5.704444444444444,36.72444444444445,1,42.25
A (Ideal),Express,CPU,high,100.00291329713312,0.0,24.29328193,90.02666666666667,43.41555555555556,3,42.625
A (Ideal),Express,CPU,medium,50.01525188782502,0.0,14.919178979999998,44.583333333333336,34.39888888888889,1,42.125
A (Ideal),FastAPI,CPU,low,10.032060182298904,0.0,3.6276275999999976,3.2788888888888885,41.126666666666665,0,42.125
A (Ideal),FastAPI,CPU,high,100.0233348574142,0.0,3.2681593999999996,28.981111111111115,41.39222222222222,1,42.375
A (Ideal),FastAPI,IO,low,9.999664165945497,0.0,1.535095020000005,1.6633333333333333,42.623333333333335,1,42.625
A (Ideal),Express,IO,medium,50.032017999918786,0.0,3.04329531,3.6499999999999995,35.146666666666675,1,42.125
A (Ideal),FastAPI,IO,medium,50.029492951051274,0.0,2.073126299999999,6.858888888888889,44.19555555555555,2,42.625
A (Ideal),Express,IO,low,10.032590380888527,0.0,3.016533379999984,1.593333333333333,29.459999999999997,1,42.375
A (Ideal),FastAPI,CPU,low,10.031979440795956,0.0,4.243875289999975,3.2577777777777777,41.224444444444444,0,42.75
A (Ideal),Express,IO,medium,50.03186523830527,0.0,2.66492288,3.6000000000000005,35.19222222222222,2,42.375
A (Ideal),FastAPI,IO,low,10.032456844062583,0.0,1.5197991699999958,1.6577777777777776,42.58111111111111,1,41.875
A (Ideal),Express,CPU,high,100.00152894373622,0.0,24.766688599999995,89.53,43.24444444444444,3,42.0
A (Ideal),FastAPI,CPU,high,100.02310625411765,0.0,2.863035669999999,27.727777777777778,41.32,1,42.75
A (Ideal),Express,IO,high,100.02894236951873,0.0,2.1189314199999987,6.067777777777778,36.46888888888889,1,42.875
A (Ideal),FastAPI,CPU,low,10.032023786388336,0.0,3.2213349699999916,3.27,65.00999999999999,1,41.75
A (Ideal),Express,CPU,medium,50.01774881149494,0.0,13.472768669999997,45.62222222222223,34.275555555555556,1,42.375
A (Ideal),FastAPI,CPU,high,100.02220047233418,0.0,3.1557224999999995,28.16888888888889,41.3688888888889,1,42.75
A (Ideal),Express,IO,low,10.032572469725611,0.0,2.5304722399999973,1.592222222222222,29.353333333333335,1,42.625
A (Ideal),Express,IO,low,10.032778168215692,0.0,2.497472479999993,1.5866666666666667,29.354444444444443,1,42.125
A (Ideal),FastAPI,IO,medium,50.02985791419659,0.0,1.9553259999999997,6.226666666666667,44.24333333333333,1,42.625
A (Ideal),FastAPI,CPU,medium,50.027071569852616,0.0,3.1937488999999992,14.955555555555556,41.18333333333333,0,42.75
A (Ideal),Express,CPU,medium,50.017623578042404,0.0,14.808338839999998,44.81444444444444,36.605555555555554,1,42.625
A (Ideal),Express,IO,low,10.03283921065136,0.0,2.3266535999999993,1.5933333333333333,29.370000000000005,1,42.625
A (Ideal),Express,CPU,medium,49.999717711593746,0.0,15.506037779999993,44.878888888888895,36.65111111111111,1,42.625
A (Ideal),FastAPI,IO,medium,50.03086751533236,0.0,1.8586017799999988,6.25,45.77111111111112,2,42.125
A (Ideal),FastAPI,CPU,medium,50.027416710824745,0.0,3.18234621,14.872222222222222,43.48222222222223,1,41.875
A (Ideal),Express,CPU,medium,50.019772289462104,0.0,15.183271279999996,45.05888888888889,34.355555555555554,1,42.0
A (Ideal),FastAPI,CPU,medium,50.027934230288515,0.0,3.8024070799999996,15.051111111111112,41.28444444444444,0,42.75
A (Ideal),FastAPI,IO,low,10.032591040315344,0.0,1.5172855899999993,1.66,42.51222222222222,1,42.375
A (Ideal),FastAPI,CPU,low,10.032004127564045,0.0,4.239988709999987,3.25,41.21222222222222,0,42.375
A (Ideal),FastAPI,CPU,medium,50.02821134666684,0.0,3.2180436099999987,14.653333333333332,41.27,0,42.5
A (Ideal),FastAPI,CPU,low,10.031639145306485,0.0,3.0724087399999966,3.2966666666666664,41.23555555555556,1,42.0
A (Ideal),FastAPI,IO,medium,50.02978370350298,0.0,1.9983873899999998,6.217777777777778,45.76888888888888,2,41.625
A (Ideal),FastAPI,CPU,medium,50.02795381245149,0.0,3.483514,14.664444444444444,41.28333333333333,1,42.25
A (Ideal),Express,IO,medium,49.99949498676749,0.0,3.084221399999997,3.948888888888889,34.79222222222222,1,41.75
A (Ideal),Express,CPU,low,10.03023361568101,0.0,12.535117999999999,10.063333333333333,30.508888888888887,1,42.875
